Date : 2025-07-29 18:39:18
Directory : /home/jon/repos/charlie-reporting
Total : 335 files,  10983 codes, 1712 comments, 3557 blanks, all 16252 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/jon/repos/charlie-reporting/debug_mock.py                                                                           | Python           |        -26 |         -3 |         -8 |        -37 |
| /home/jon/repos/charlie-reporting/debug_transformer.py                                                                    | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/README.md                                                                          | Markdown         |       -166 |          0 |        -40 |       -206 |
| /home/jon/repos/charlie-reporting/demo/config.toml                                                                        | TOML             |        -42 |         -2 |         -9 |        -53 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/csv_email_sender.py                                                    | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/data_generation/data_generator.py                                      | Python           |       -295 |        -53 |        -81 |       -429 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/data_generator.py                                                      | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/debugging/simple_password_test.py                                      | Python           |        -72 |        -18 |        -19 |       -109 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_debug.py                                                         | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_sender.py                                                        | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_auto.py                                                   | Python           |       -441 |        -34 |        -28 |       -503 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_env.py                                                    | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_oauth.py                                                  | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_smtp.py                                                   | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/csv_email_sender.py                              | Python           |       -122 |        -12 |        -12 |       -146 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_debug.py                                   | Python           |        -88 |        -29 |        -15 |       -132 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_sender.py                                  | Python           |       -204 |        -43 |        -25 |       -272 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_sender_auto.py                             | Python           |       -441 |        -34 |        -28 |       -503 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_sender_env.py                              | Python           |       -236 |        -25 |        -25 |       -286 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_sender_fixed.py                            | Python           |       -204 |        -43 |        -25 |       -272 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_sender_oauth.py                            | Python           |       -362 |        -37 |        -51 |       -450 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_sender_smtp.py                             | Python           |       -367 |        -23 |        -44 |       -434 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/quick_email_test.py                              | Python           |        -65 |        -11 |        -13 |        -89 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/simple_email_debug.py                            | Python           |        -53 |         -7 |        -14 |        -74 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/cleanup_email_senders.py                                 | Python           |        -51 |        -17 |        -10 |        -78 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/focused_email_sender.py                                  | Python           |       -120 |        -13 |        -11 |       -144 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/setup_secure_email.py                                    | Python           |        -79 |        -11 |        -15 |       -105 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/simple_email_test.py                                     | Python           |        -45 |        -10 |        -15 |        -70 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/focused_email_sender.py                                                | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/manual_test.py                                                         | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/master_demo.py                                                         | Python           |       -229 |        -36 |        -51 |       -316 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/master_end_to_end_demo.py                                              | Python           |       -266 |        -57 |        -87 |       -410 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/quick_auth_test.py                                                     | Python           |          0 |          0 |         -1 |         -1 |
